uuid,author,link
25ebee04-5cde-49f1-95d7-de790650dded,Maksym Stepanov,https://linux.it-universe.org/club/2025/workshop-2/
5b4ffeb0-15bd-493d-9886-d4e23b4afd02,Maksym Stepanov,https://linux.it-universe.org/club/2025/workshop-2/
a9dd0dea-9be5-4282-b41a-ab3f0a346b41,Maksym Stepanov,https://linux.it-universe.org/club/2025/workshop-2/
4a71d4a1-67b6-4574-9194-0779c5726a3d,Maksym Stepanov,https://linux.it-universe.org/club/2025/workshop-2/
5a89f0d6-381d-4a76-836d-7a168360c36b,Mike Tyson of the Cloud (MToC),https://medium.com/@mike_tyson_cloud/what-is-the-best-hybrid-cloud-approach-d5b30fbac957
c8cd5de0-0546-411a-b189-998507fb916b,Mike Tyson of the Cloud (MToC),https://medium.com/@mike_tyson_cloud/what-is-the-best-hybrid-cloud-approach-d5b30fbac957
ddfc4705-11d5-4012-b817-8379b012c6b8,Mike Tyson of the Cloud (MToC),https://medium.com/@mike_tyson_cloud/what-is-the-best-hybrid-cloud-approach-d5b30fbac957
a10efd92-e581-478d-9c57-408676228d38,Mike Tyson of the Cloud (MToC),https://medium.com/@mike_tyson_cloud/what-is-the-best-hybrid-cloud-approach-d5b30fbac957
464ffda0-ffcd-4f26-bccf-e364bacc8d14,Mike Tyson of the Cloud (MToC),https://medium.com/@mike_tyson_cloud/what-is-the-best-hybrid-cloud-approach-d5b30fbac957
40364793-e1bb-4284-bd54-9ee3a4ef2db2,Mike Tyson of the Cloud (MToC),https://medium.com/@mike_tyson_cloud/what-is-the-best-hybrid-cloud-approach-d5b30fbac957
a62edf3b-572b-4f11-9de8-04b123f688fe,MockFlow Team,https://mockflow.com/flowchart-examples/azure-kubernetes-service-cluster-architecture-diagram-example
c61a4ddf-f2ae-4410-a427-b564dcb2da4d,MockFlow Team,https://mockflow.com/flowchart-examples/azure-kubernetes-service-cluster-architecture-diagram-example
6464dad9-dfbf-4798-86a5-9da810802d42,MockFlow Team,https://mockflow.com/flowchart-examples/azure-kubernetes-service-cluster-architecture-diagram-example
1851272e-6642-4d30-b28c-28f878bc34da,MockFlow Team,https://mockflow.com/flowchart-examples/azure-kubernetes-service-cluster-architecture-diagram-example
c6c109d4-022e-4ce6-8fe4-61258864647f,MockFlow Team,https://mockflow.com/flowchart-examples/azure-kubernetes-service-cluster-architecture-diagram-example
d6841dbf-8ef8-4b41-a41b-a8cd004e1df5,Paulo Gardini Miguel,https://thectoclub.com/it-infrastructure/hybrid-cloud-storage/
05ab0730-ea0f-433f-93ce-f05f837dbcc1,Akamai,https://www.akamai.com/resources/reference-architecture/hybrid-cloud
4015952a-6c67-42fc-8eff-99a5763a77cc,Team Hava,https://www.hava.io/blog/what-is-hybrid-cloud-how-to-visualise-multi-cloud-deployments
e2169974-24e5-4e04-9789-bbf4316d1c9c,Team Hava,https://www.hava.io/blog/what-is-hybrid-cloud-how-to-visualise-multi-cloud-deployments
744447f6-e457-47c4-8389-2ccdd8397df6,Team Hava,https://www.hava.io/blog/what-is-hybrid-cloud-how-to-visualise-multi-cloud-deployments
24391497-caea-4559-801e-5ed7cf35e2fb,Team Hava,https://www.hava.io/blog/what-is-hybrid-cloud-how-to-visualise-multi-cloud-deployments
95038f4a-53ac-48db-9b15-734062014395,Team Hava,https://www.hava.io/blog/what-is-hybrid-cloud-how-to-visualise-multi-cloud-deployments
faba05f5-b4a4-402b-b10d-8e75bf452675,Team Hava,https://www.hava.io/blog/what-is-hybrid-cloud-how-to-visualise-multi-cloud-deployments
56495909-4818-4e9d-b326-eef5bcc5782a,Alex O.,https://www.linkedin.com/pulse/develop-build-test-hybrid-cloudaws-alexander-nana-owusu
29455c6e-0be5-40b4-a061-0b2caf116453,"Thiago Genez, Luiz Fernando Bittencourt, Nelson Fonseca & Edmundo R. M. Madeira","Genez, T. A. L., Bittencourt, L. F., Fonseca, N. L. S. da, & Madeira, E. R. M. (2019). Estimation of the available bandwidth in inter-cloud links for task scheduling in hybrid clouds. IEEE Transactions on Cloud Computing, 7(1), 62–74. https://doi.org/10.1109/TCC.2015.2469650"
338ec2fb-afb2-40dc-8c1a-93972b4e0630,Mohammad Sajid & Zahid Raza,"Sajid, M., & Raza, Z. (2015). Turnaround Time Minimization-Based Static Scheduling Model Using Task Duplication for Fine-Grained Parallel Applications onto Hybrid Cloud Environment. IETE Journal of Research, 62(3), 402–414. https://doi.org/10.1080/03772063.2015.1075911"
2673dc46-070e-4bd4-9af3-96358d7ac0b6,"Roxana Marcu, Iulian Danila, Dan Popescu, Oana Chenaru & Loretta Ichim","Marcu, R., Danila, I., Popescu, D., Chenaru, O., & Ichim, L. (2017). Message queuing model for a healthcare hybrid cloud computing platform. Studies in Informatics and Control, 26(1), 95–104. https://doi.org/10.24846/v26i1y201711"
d33f926a-512a-43c7-bd54-b7fa43726bcc,"Nasim Beigi-Mohammadi, Mark Shtern & Marin Litoiu","Beigi-Mohammadi, N., Shtern, M., & Litoiu, M. (2020). Adaptive load management of web applications on software defined infrastructure. IEEE Transactions on Network and Service Management, 17(1), 488–502. https://doi.org/10.1109/TNSM.2019.2948969"
92b18c8a-4acb-47e3-8a70-1a46cecf7669,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
3fcdf79b-201f-47f3-969a-9adfa5b4f9a7,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
11a3852b-68fb-44c3-aee0-2b7fe5a138b6,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
9f071523-2a4d-48d5-93ce-29fe6827b272,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
0160de2b-b9cd-4710-9ea1-708cb48136c4,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
ee70ea8e-1d52-4a7e-9287-a4b91768305c,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
9e00fd9b-8c24-46a4-abac-22b63fbc27dd,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
1ec3ace7-71a8-4eee-9e38-77a8b21ddda8,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
eb972ac4-838c-4624-87fa-5e46319b2a4f,Thomas Maurer,https://www.thomasmaurer.ch/2020/10/how-to-create-azure-hybrid-cloud-architectures/
